company,symbol,holdings,mkt_price,value,weights
American Airlines Group Inc,AAL,43700000,27.93,1220541000,0.005556006
Apple Inc.,AAPL,249589329,235.28,58723377327,0.267313776
"Amazon.com, Inc.",AMZN,537300,1787.48,960413004,0.004371881
American Express Company,AXP,151610700,119.1,18056834370,0.082196236
Axalta Coating Systems Ltd,AXTA,24264000,28.8,698803200,0.003181011
Bank of America Corp,BAC,947760000,30.26,28679217600,0.130550222
Bank of New York Mellon Corp,BK,80937250,44.38,3591995155,0.016351065
Charter Communications Inc,CHTR,5426609,441.93,2398181315,0.010916724
Costco Wholesale Corporation,COST,4333363,302.4,1310408971,0.005965092
"Delta Air Lines, Inc.",DAL,70910456,53.37,3784491037,0.017227323
Davita Inc,DVA,38565570,57.85,2231018225,0.010155783
General Motors Company,GM,72269696,36.19,2615440298,0.011905705
Goldman Sachs Group Inc,GS,18353635,206.46,3789291482,0.017249175
Johnson & Johnson,JNJ,327100,136.17,44541207,0.000202755
JPMorgan Chase & Co.,JPM,59514932,120.35,7162622066,0.032604861
Kraft Heinz Co,KHC,325634818,27.77,9042878896,0.041163949
Coca-Cola Co,KO,400000000,53.79,21516000000,0.09794265
Liberty Global PLC Class A,LBTYA,19791000,25.48,504274680,0.002295501
Liberty Global PLC Class C,LBTYK,7346968,24.24,178090504.3,0.000810683
Liberty Latin America Ltd Class A,LILA,2714854,18.46,50116204.84,0.000228133
Liberty Latin America Ltd Class C,LILAK,1284020,18.22,23394844.4,0.000106495
Liberty Sirius XM Group Series A,LSXMA,14860360,43.32,643750795.2,0.002930408
Liberty Sirius XM Group Series C,LSXMK,31090985,43.76,1360541504,0.0061933
Southwest Airlines Co,LUV,53649213,53.86,2889546612,0.01315346
Mastercard Inc,MA,4934756,276.51,1364509382,0.006211362
Moody's Corporation,MCO,24669778,218.77,5397007333,0.024567633
MONDELEZ INTERNATIONAL INC Common Stock,MDLZ,578000,54.63,31576140,0.000143737
M&T Bank Corporation,MTB,5382040,152.11,818662104.4,0.003726619
Procter & Gamble Co,PG,315400,116.63,36785102,0.000167449
PNC Financial Services Group Inc,PNC,8671054,142.66,1237012564,0.005630986
Phillips 66,PSX,5552715,107.21,595306575.2,0.002709886
Restaurant Brands International Inc,QSR,8438225,69.41,585697197.3,0.002666143
Sirius XM Holdings Inc,SIRI,137915729,6.48,893693923.9,0.00406817
StoneCo Ltd,STNE,14166748,34.9,494419505.2,0.002250639
Store Capital Corp,STOR,18621674,37.64,700919809.4,0.003190646
Suncor Energy Inc.,SU,10758000,30.26,325537080,0.001481872
Synchrony Financial,SYF,20803000,33.98,706885940,0.003217805
Teva Pharmaceutical Industries Ltd,TEVA,43249295,7.77,336047022.2,0.001529714
Travelers Companies Inc,TRV,5958391,140.48,837034767.7,0.003810253
United Airlines Holdings Inc,UAL,21938642,89.46,1962630913,0.008934062
"United Parcel Service, Inc.",UPS,59400,118.39,7032366,3.20E-05
U.S. Bancorp,USB,132459618,54.71,7246865701,0.032988345
Visa Inc,V,10562460,177.94,1879484132,0.008555571
"Verisign, Inc.",VRSN,12952745,186.55,2416334580,0.010999359
Wells Fargo & Co,WFC,409803773,49.61,20330365179,0.09254554